event_name,category,category_id,description,
Kommune Presents: The Storytellers,Literature & stories,15,"Kommuneity, we've found some amazing talents through the years. We've seen performers find the art of storytelling, and writers feed the performers within. We've seen experts encourage beginners and beginners bloom into experts. So this time, we teamed up with FairTrunk to give you an event that comes with a bit of both. Where some of our favourite performers go on stage, wow you with their music and art and then...invite you to perform with them. In front of a crowd that'll be cheering your name. So how do you get on stage to perform with some of your favourite artists? Easy. You take a deep breath, and tell about the last time you...slowed down. That's right - at FairTrunk, where we learned that sustainable fashion is the way to go, we decided to relax a little and slow the fuck down with our stories, and the theme. To participate, please read the rules carefully: 1) The theme of the event is 'slow down' - all entries must reflect this theme. 2) Please send a screenshot of your insider ticket along with your piece at team@kommuneity.co.in with the subject line 'Kommune Storytellers Slow Down' 3) Participants are to send their entries both in PDF (written) and audio format. Spoken word pieces and stories (fictional and non-fictional) are allowed. Both Hindi and English entries will be considered. 4) Each piece is to be no less than 3 minutes and no more than 5. 5) Deadline for submissions is October 2nd, 2018. 6) Kommune will then curate the 5 best pieces to be performed on stage at The Storytellers.",
Walking with Words: A Reader's Heritage Walk,Literature & stories,15,"Explore Mumbai�s most iconic neighbourhood on a walking tour that unearths and spotlights it�s hidden histories � the stories that lie behind, around, and within, the buildings, streets and spaces so familiar today. We walk back through the area�s earliest history as a lonely island acquired by traders of the East India Co., follow its journey from a struggling fortified town into a crowded, cosmopolitan, trading centre, then to its place at the heart of 19th century developments that transformed Bombay into British India�s �first city�, and, finally, to area�s unique post-independence challenges and changes in identity. On the way, we meet and hear from early settlers, novelists, diarists and poets who share their experiences of the city now known as Mumbai, in their own voice, as only they can! From Rudyard Kipling to Salman Rushdie, Kala Ghoda�s triangle to the Bombay crow, Bombay then to Mumbai now, walk with me and the many words written on, and in, this city by the sea. Route: Gateway of India - Oval Maidan.",
PoShaK Poetry : Readings and Open Mic,Literature & stories,15,"PoShaK invites Poets, Shayars, Kavis and all lovers of poetry to its exclusive evening of Readings and Open Mic in Bandra. Sessions: 1) Readings of selected ghazals by the pioneers of modern urdu ghazal: Zafar Iqbal, Mohammad Alvi and Ahmad Mushtaq. 2) Followed by an open mic session. Language, topic and format are no bars as long as the work is original. To register, send 2 poems (any language) which you wish to read/recite/perform at poshakpoetry@gmail.com Limited seats: Entry fee is Rs. 200. To book your seat, contact: +918355923354/+918898111113 P.s: For entry, confirmation of your seat from the organizing team is mandatory. About PoShaK PoShaK is a place where Poets, Shayars and Kavis flock together to share their most heartfelt verses in the most natural way possible for a discerning audience. Here spoken word bards are honoured with a stage to celebrate the liberating power of poetry.",
Kommune Presents: The Best Of Storytellers,Literature & stories,15,"Kommuneity, over the past few months we've had the absolute pleasure of curating some of the best stories we could read. Of seeing new performers and watching them grow right before our eyes. Of smiling and living their experiences. So we decided that it was time for us to come back, once again, with the best of the best, with our old friend ""Kommune Presents: The Best Of Storytellers"". Where you'll see some old faces, some new ones. Some first time performers just beginning to fall in love with writing, some writers discovering the beauty of performing. So join us, Kommuneity? We so love it when we get to share stories with you.",
Bigmic Poetry Open Mic hosted by Shaurya Shah,Literature & stories,15,Great news! The HIVEs The Big Mic platform is coming to Hive at Gostana. India's longest running open mic is committed to showcase new and alternative talent across multiple performance arts. Our host for tonight is Shaurya Shah,
Breathing the Text - Poetry Workshop,Literature & stories,15,"A poetry workshop that will focus on breath, movement and performance. - Gain confidence - Find your voice - Learn how to improve your performance This workshop is open to beginners and practicing poets. It is a dynamic workshop and will definitely help you be a better spoken word poet, and also a better public speaker.",
Poetry in Pop-Up Art,Literature & stories,15,"Papernautic and HaikuJAM are pleased to present a pop-up paper art workshop that takes the subtle art of short-form haiku poetry into the third dimension with paper craft. (Tickets will be available on Insider.in soon) (No Prior Knowledge of haiku poetry, papercraft or pop-ups is required) (Includes all workshop material & refreshments) About the workshop This workshop will be an enjoyable introduction to the art and techniques of paper pop-ups. These small folding mechanisms have been used in astonishing greeting cards and elaborate illustrated books for centuries. Samir Bharadwaj will introduce some of the basic mechanisms of pop-ups in a simple and practical way, guiding you through building and creating them with the included kit of materials and simple crafting tools. During this workshop, participants will be taken through a fun collaborative haiku poetry-writing session by Dhrupad Karwa (co-founder of the social writing app, HaikuJAM) to give them some material for their pop-up art pieces. They will then be introduced to the basic pop-up techniques and will be guided to building their own pop-ups to express their personal poetic pieces. Participants will also have the opportunity to work on a short abstract pop-up art piece which will be assembled into a collective installation at the HaikuJAM Cottage. By the end of this session participants will gain a strong understanding of haiku poetry and the basic mechanics and craft of pop-ups and grow the confidence to continue trying their hand at pop-up art of their own. Each participant will receive a take-home kit of materials and instructions, and will leave with a finished, or nearly finished, pop-up art piece, in addition to contributing to a small art installation that will stay on display at the venue. Note: All materials required for the workshop will be provided. About Papernautic Papernautic is a creative studio centered on the idea of making papercraft more approachable, engaging and useful. We conceive new experiments and learning tools, to spread the wonder of paper art to new minds and fingers. Samir believes that crafts like origami and paper sculpture are a great, non-threatening, introduction to what ought to be a core human ideal: ""Make something."" Samir Bharadwaj has been an independent designer for 20 years and a visual artist for longer. He was taught how to make his first origami crane when he was 3 and no one's been able to get him to stop folding, cutting and sculpting paper since. About HaikuJAM HaikuJAM is a social writing app that gets people around the world to write haiku poems together. It aims to provide a tool for creative expression, meaningful connection and stress-relief: a stimulating, interactive and nourishing experience. The app is used in over 100 languages, and has been profiled in Forbes, The New York Times, BBC, The Guardian, The Huffington Post, and many other media outlets. Alongside the app, HaikuJAM runs events across India and abroad, and has attracted audiences as large as 3000 people.",
The Storytellers: Azaadi,Literature & stories,15,"Kommuneity�from spoken word poets, to storytellers, to musicians, we've been falling in love with the performing arts for years. And finally, on the 6th of September, 2018, love found equality. The Supreme Court of India made the landmark decision of decriminalizing section 377, a law that, for all intents and purposes, criminalized homosexuality. And India celebrated, with colours of pride, the clouds giving way to the rainbow. Yes, the fight ahead is a long one, but this year, we took one, small, colourful step in the right direction. So we at Kommune tied up with the wonderful folks at Gaysi to celebrate stories in every shade. Presenting, The Storytellers: Azaadi, where members of the LGBTQIA+ community take the stage to share their stories, of happiness, hope, love, fighting for love, acceptance, and everything in between. So join us Kommuneity to hear stories like you never have before, as we get together allies and all, to share stories on freedom finally being found, by all.",
Bigmic Poetry Open Mic hosted by Vidhi Duhlani,Literature & stories,15,Great news! The HIVEs The Big Mic platform is coming to Hive at Gostana. India's longest running open mic is committed to showcase new and alternative talent across multiple performance arts. Our host for tonight is Vidhi Duhlani,
Stories on Toast: An Open Mic for Unpublished Authors,Literature & stories,15,"Your favourite storytelling open-mic is back at it this October. So come along and bring your stories or just bring your ears and listen to these unpublished authors regale their tales. Hosted by the two leading ladies on Books on Toast, Anuya Jakatdar and Sharin Bhatti Nair this promises to be a whole load of fun. So come one, come all - author, listener, person who has no plans on Tuesday night - everyone is invited. The winner of the open mic, chosen by our hosts, will win an amazing hamper by Books on Toast. What�s so amazing about this hamper? Win and find out. Better yet, the winner�s story will get featured on YouTube!",
Litventure 2018 - Fun Literally,Literature & stories,15,"A literature festival organized by For Writers By Authors, hosted and presented by Children's Academy Group of Schools. This is the fourth installment of the fest this year and is going to be held at Children's Academy, Malad East, Mumbai on October 6th, 2018 from 8:30 A.M to 2 P.M. Authors like Meghna Pant, Karishma Attari, Kiran Manral, Koral Dasgupta, Annie Zaidi, Prachi Garg, etc are in attendance. There are also workshops and storytelling sessions and this year's new attraction -- a literature-related funfair filled with games and books.",
Screen Writing Workshop,Literature & stories,15,"With Juggernaut Books, we present a workshop with Screenwriter Mayank Tewari, in which he will elucidate the various techniques employed and explore the different characteristics of some of the best screenplays. He will explore the entire journey a script takes from the initial story-idea to the final dialogue draft and will detail the various screenwriting theories that help writers approach the screenplay by systemizing the structure, goals and techniques of writing a script and decode why, in screenwriting, storytelling is more important than rhetoric. This interactive workshop will also examine the importance of a screenplay and the crucial role it plays in the development process of filmmaking. Participants will learn how to transition stories and ideas from narrative fiction to screenplay and understand the various processes and formats of screenwriting. Workshop Highlights include: - Story structure - Creating compelling characters - Constructing a plot and establishing a theme - Crafting dialogues and creating action - Screenplay Formatting - Marketing Your Screenplay",
Book Launch : 'Women Around Us',Literature & stories,15,"The book launch of Hanadi Falki's collection of short stories, 'Women Around Us' is going to be held at Litventure, Children's Academy, Malad East, Mumbai on October 6th, 2018 at 12 pm. Authors like Meghna Pant, Karishma Attari, Kiran Manral, Koral Dasgupta, Annie Zaidi, Prachi Garg, etc are in attendance at Litventure, which includes workshops, storytelling sessions and a literature-related funfair. 'Women Around Us' is a collection of short stories that celebrate the strength, courage, resilience, and faith of our contemporary women. The stories are about the women who continue to break down walls and defy stereotypes that hold them back. They challenge what is expected of their gender. They give us hope for a more caring, tolerant, just and peaceful life for all. The stories advocate the need to create a fair society for the females around us, whether it is for one�s right to education & career, struggle with cyber bullying, body shaming, colour discrimination & infertility stigma or the fight against dowry demands & domestic violence.",
Improv Poetry 1.0,Literature & stories,15,"Come,watch/perform Improv Poetry!!! Group Poetry Improvisation is a method of producing poetry that involves spontaneous,collaborative and oral composition.Improvisation can be a powerful way of building confidence in one's voice,tapping one's creativity,developing ideas and generating material for performance. It involves creating a supportive environment where writers are able to lower their inhibitions,follow their creative instincts and open up to others. This is how the event will flow- 1.Introduction and Warm-up (it is always great to meet a bunch of strangers and see new faces!!) 2.Structured Improvisations (you gotta pen em down first and then you pin em down next!!LOL!) 3.Free-form Improvisations (you have no idea how fun this will be!!!!) Registration link - https://goo.gl/forms/jVmT0PDMCda4p9rg2 When? October 6th,2 pm-5 pm Where? Doollaly,Khar Contact details - 8097779859,9819120540 We promise you a great evening,full of poetry,music and fun! :) ENTRY IS FREE!(hugs too??)",
Poetry Writing Workshop,Literature & stories,15,"Hello Mumbai, Who do we have to K*ll around here to write poetry? Just some rules. Poems let you be yourself and give you a safe space for your feelings. We don�t have to be a Shakespeare or Keats to get this right, do we? We can be ourselves, and still write poems. And still have fun, while we�re at it! Whether it�s about a beautiful stranger in a caf� or a cute kitten your mother didn�t let you take home, we�ve all written about things that moved us. In our first ever exclusive poetry writing workshop, you can come by yourself-and walk out with poems you never knew were yours. We�ll teach you: 1) What works in poetry 2) How to avoid clich�s 3) How to build metaphors 4) Where to look for inspiration 5) And how to think out of the box. Why do you need to attend this workshop? 1. Skip the queue of getting published. 2. Get a chance to join the select group of TTT writers, as this will bring you closer to the chance of getting to work with us. 3. Throw yourself into the deep end of writing challenges. 4. If one of the stories written by you in the workshop gets published, you get to be part of a remote internship with us. 5. You'll also a receive a digital certificate saying you attended the workshop. 6. Age has never been a bar to write. So whether you�re 16 or 61, come, we�d love for you to be a part of this. As you read this, everyone�s running to book their seats. So book yours soon, before they run out. And don�t forget to inform a friend or two. Date - 6th October, 2018 Time - 3 pm Duration - 2 hours 30 mins Co host - https://www.facebook.com/MoonshineAndheri/",
Write Now! - Blogging workshop for Beginners,Literature & stories,15,"Learn blogging, content and social media writing. Enhance your creative writing skills - you already have them there! I believe anyone can write. I believe everyone should write. Just Write Now! This is why I initiate Write Now: Writing Workshops with Anushree Chatterjee Details: Date: Saturday, October 6th Time: 2 to 5 pm Venue: Goregaon east Charges: ?1800 per head Age group: 16 years and above What we will learn - Creative writing - Writing for self expression How to start and how to think creatively How to play with words How to find your own style and voice of writing Content writing - How to write effective content for clients, portals and social media. Tips on ideation and exploring creative writing tricks. How to be consistent as a writer. Blogging basics How to start blogging What is a blogger's strategy? How to create, maintain and promote your blog. Blogging tips and tricks The workshop will include practical and hands-on training. Seats are limited to keep the workshop interactive TO REGISTER, please connect with Anushree Chatterjee Patni via Write Now: Writing Workshops with Anushree Chatterjee About the trainer Anushree Chatterjee has been a freelance writer and editor for over a decade. She has written for publications like HT Cafe, #Midday Mumbai, #Jetwings and more. She has also been editor of several B2B and lifestyle publications and portals. Anushree runs a popular blog called Goregaon Highway Pulse, India's only hyper-local blog - www.goregaonhighwaypulse.com Anushree has been conducting writing workshops for over a year, engaging participants to work on their writing skills for various formats and discover the joys of being a great writer. Come and Write Now!",
Kommune Presents: The Storytellers,Literature & stories,15,"Kommuneity, we've found some amazing talents through the years. We've seen performers find the art of storytelling, and writers feed the performers within. We've seen experts encourage beginners and beginners bloom into experts. So this time, we teamed up with FairTrunk to give you an event that comes with a bit of both. Where some of our favourite performers go on stage, wow you with their music and art and then...invite you to perform with them. In front of a crowd that'll be cheering your name. So how do you get on stage to perform with some of your favourite artists? Easy. You take a deep breath, and tell about the last time you...slowed down. That's right - at FairTrunk, where we learned that sustainable fashion is the way to go, we decided to relax a little and slow the fuck down with our stories, and the theme. To participate, please read the rules carefully: 1) The theme of the event is 'slow down' - all entries must reflect this theme. 2) Please send a screenshot of your insider ticket along with your piece at team@kommuneity.co.in with the subject line 'Kommune Storytellers Slow Down' 3) Participants are to send their entries both in PDF (written) and audio format. Spoken word pieces and stories (fictional and non-fictional) are allowed. Both Hindi and English entries will be considered. 4) Each piece is to be no less than 3 minutes and no more than 5. 5) Deadline for submissions is October 2nd, 2018. 6) Kommune will then curate the 5 best pieces to be performed on stage at The Storytellers.",
Anubhuti - Celebrating Quality Hindi Literature,Literature & stories,15,"Anubhuti: An evening dedicated to celebrating the beauty of Hindi Kavya shashtra. Held on the solemn occasion of 'Hindi Pakhwada', Anubhuti is yet another offering by Pasbaan E Adab aimed at reviving the love and pride for quality literature and poetry, integrating today's generation with our rich cultural heritage. Come spend an evening with loved and renowned poets from across the country. Join us on 6th October 2018, Saturday at 6pm. FREE Entry, Registration is Mandatory SEATING IS BASED ON FIRST COME FIRST SERVE BASIS",
Priyanka and Academy Samor Aahwal,Literature & stories,15,"PRIYANKA Coming from a family looking after a construction work, a housewife named 'Priyanka' moves the play forward through her words. This unveils various social and psychological aspects of modern society. This character (Priyanka) points out the wrong norms we are heading towards and we empathize with her. It gives us a frightening review of worthlessness of one's life and even the ignorance associated with the same, provoking a complex experience. Cast - Apurva Kadam Duration - 20-25 min Language- Marathi 'Academy Samor Ahwal' is a story originally written by German Novelist and Short Story Writer Franz Kafka, translated in Marathi by Dr. Neeti Badwe. Now is to be performed. We always feel that we are trapped inside a cage. The bars of the cage are of oppression caused by influence of certain classes, their unidirectional development. Our personal and social freedom is in danger because of this. At such times, by gathering all the courage, in an attempt to escape this cage and evolution of human being from a monkey and the ill feeling associated with it, is attempted to represent in an entertaining way..!",
Oh! My Dad(Moliere's The Miser) in Hindi,Literature & stories,15,"Writer: Alok Kumar Director: Sanjay Shastri Language- Hindi Time- 100 minutes Casts : Agni Pawar, Chakshu Tiwari , Lubna khan, Chitransh Pawar, Vimal Kaushal, ashish kumar, Obaid khan, Ashutosh Oh! My Dad� is a farcical comedy of manners about a miser father and their family based on famous Moliere�s The Miser. We have adapted the play in Hindi and added flavor of music to enhance taste of drama. The play is brilliantly blended satire and farce with a fast-moving plot that features many surprises every time. The plot of play also concerns the classic conflict between love and money.",
Walking with Words: A Reader's Heritage Walk,Literature & stories,15,"Explore Mumbai�s most iconic neighbourhood on a walking tour that unearths and spotlights it�s hidden histories � the stories that lie behind, around, and within, the buildings, streets and spaces so familiar today. We walk back through the area�s earliest history as a lonely island acquired by traders of the East India Co., follow its journey from a struggling fortified town into a crowded, cosmopolitan, trading centre, then to its place at the heart of 19th century developments that transformed Bombay into British India�s �first city�, and, finally, to area�s unique post-independence challenges and changes in identity. On the way, we meet and hear from early settlers, novelists, diarists and poets who share their experiences of the city now known as Mumbai, in their own voice, as only they can! From Rudyard Kipling to Salman Rushdie, Kala Ghoda�s triangle to the Bombay crow, Bombay then to Mumbai now, walk with me and the many words written on, and in, this city by the sea. Route: Gateway of India - Oval Maidan.",
The Write Tools - One Day Writing Workshop,Literature & stories,15,"Tall Tales is back with a brand new writing workshop. Come find out why 1600 people have attended the Tall Tales Workshop and why they love it! Become part of the fastest growing family of writers in the country. As always, the workshop goes into extreme detail about what makes a story a story in the first place, the underlying structure that holds up stories from start to finish, what a memorable character is and how to design them, as well as what makes effective dialog, plot, flow, setting, and much, much more. We tackle everything no matter whether you're interested in fiction, non-fiction, screenplays, or anything else. The workshop fees is ?3000 which includes food and beverages. Ticket Link: https://doolally.in/?page/events/the-write-tools-22569f8 (If you're an alumni, workshop charges don't apply to you. Please email akshay@talltales.in to let us know you're interested in coming) The workshop will be held at Doolally, Khar. Here's the address: Rajkutir, 10 A., E854, 3rd Road, Ram Krishna Nagar, Khar West, Mumbai, Maharashtra 400052 https://goo.gl/maps/C5nDD7vHAPy Questions? Call +91 9920077055. More on Tall Tales Storytelling in general is at talltales.in",
"12th Creative Thinking & Writing Workshop, Navi Mumbai",Literature & stories,15,"12th Creative Thinking & Writing Workshop, Navi Mumbai Overview Over the last 17 plus years, been a writer and an ideator, I've observed that almost everyone can think creatively and write reasonably well, but they do not do so because they think they cannot do so. It is my mission to change this perception that writing and creative thinking is the domain of a chosen few. Be it for your work or your passion, let me help your writing and thinking become more creative, interesting, engaging, impactful, result-oriented. Know your Facilitator Saurin Desai, A Story Teller, published poet, Comic-Writer, Brand Story-Writer and been facilitating workshops at/for NIIT, Hindustan Times, Mumbai University, Rajeev Gandhi College of Management Studies, Academy of Architecture, Somaiya College, Swatva Foundation, etc. You can know more about my work at www.facebook.com/saurindesaicreativewriter and www.instagram.com/saurindesaicreativewriter/ Who should attend Anyone who wants to think more creatively and write for A Blog or A Website or An Article or anywhere. Schedule Date: 7th Oct '18 (Sunday) Ages: 16+ Timings: 10:30 am to 2:30 pm Venue: Barista @ Kharghar Fees per participant: Rs 1250. Alumni, group and networks (BNI, ITC, etc.): Rs 1000 For more details, and to register, get in touch with Shantana (9769336358) or me on 98205-46711 or on storyteller@saurindesai.com Yours Creatively Saurin Desai",
PoShaK Poetry : Readings and Open Mic,Literature & stories,15,"PoShaK invites Poets, Shayars, Kavis and all lovers of poetry to its exclusive evening of Readings and Open Mic in Bandra. Sessions: 1) Readings of selected ghazals by the pioneers of modern urdu ghazal: Zafar Iqbal, Mohammad Alvi and Ahmad Mushtaq. 2) Followed by an open mic session. Language, topic and format are no bars as long as the work is original. To register, send 2 poems (any language) which you wish to read/recite/perform at poshakpoetry@gmail.com Limited seats: Entry fee is Rs. 200. To book your seat, contact: +918355923354/+918898111113 P.s: For entry, confirmation of your seat from the organizing team is mandatory. About PoShaK PoShaK is a place where Poets, Shayars and Kavis flock together to share their most heartfelt verses in the most natural way possible for a discerning audience. Here spoken word bards are honoured with a stage to celebrate the liberating power of poetry.",
Kommune Presents: The Best Of Storytellers,Literature & stories,15,"Kommuneity, over the past few months we've had the absolute pleasure of curating some of the best stories we could read. Of seeing new performers and watching them grow right before our eyes. Of smiling and living their experiences. So we decided that it was time for us to come back, once again, with the best of the best, with our old friend ""Kommune Presents: The Best Of Storytellers"". Where you'll see some old faces, some new ones. Some first time performers just beginning to fall in love with writing, some writers discovering the beauty of performing. So join us, Kommuneity? We so love it when we get to share stories with you.",
